ISO3,Country/Region,unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
NAM,Namibia,MtCO2e,19.82,19.78,19.75,19.95,20.05,19.92,19.76,20.47,20.51,21.32,21.31,19.92,20.57,21.05,21.65,22.94,22.29,20.88,23.8,23.2,28.18,29.73,22.91,22.16,22.22,22.88,22.94,22.18,21.35,24.12
PAN,Panama,MtCO2e,14.1,14.77,15.03,15.32,15.52,15.51,15.45,16.53,15.67,15.77,15.54,14.82,15.13,15.11,16.76,17.29,17.3,17.41,19,19.62,20.72,21.42,21.4,21.83,21.73,21.94,21.51,21.53,24.84,21.46
GAB,Gabon,MtCO2e,17.25,17.29,17.46,18.65,19.92,20.89,20.81,21.83,20.71,20,19.42,18.75,20.21,19.82,19.37,17.96,17.24,17.91,17.7,18.55,21.8,21.38,21.48,21.78,22.19,22.59,20.93,20.33,21.4,21.16
MWI,Malawi,MtCO2e,11.76,11.76,11.9,11.51,11.72,11.77,11.69,11.94,11.96,11.95,12.01,12.4,12.89,12.7,13.04,12.97,13.53,14.15,13.95,15.09,15.09,15.57,15.68,16.3,16.67,17.16,17.41,18.9,19.98,20.31
GUY,Guyana,MtCO2e,7.94,7.93,8.73,9.04,9.74,10,10.28,10.43,10.41,10.09,10.85,10.74,11.02,11.31,10.95,10.75,11.06,11.21,11.24,11.5,19.21,19.46,19.62,19.83,19.98,17.4,17.5,17.66,17.97,18.17
GEO,Georgia,MtCO2e,21.89,14.39,8.86,1.7,-1.36,-2.88,-3.7,-4.18,-4.43,-4.02,8.27,7.72,8.24,8.32,8.87,9.23,9.99,9.1,9.85,9.59,14.28,15.14,16.16,16.81,17.15,17.54,17.48,17.14,17.89,17.69
TJK,Tajikistan,MtCO2e,16.97,13.98,11.12,8.61,8,7.35,7.59,7.51,7.02,6.65,6.29,6.32,6.47,7.02,7.09,7.58,8.29,8.67,8.35,8.44,8.66,9.46,9.88,11.42,12.02,13.1,14.49,15.89,17.29,17.56
HRV,Croatia,MtCO2e,21.39,22.38,23.22,23.3,24.62,23.78,25.39,25.8,25.32,24.36,25.19,26.24,27.35,27.07,27.01,27.74,29.25,28.43,25.88,25.32,24.38,22.39,21.3,20.5,21.11,18.33,18.98,17.87,17.96,17.05
SVN,Slovenia,MtCO2e,6.9,6.62,7.36,7.41,8.24,9.04,9.51,9.25,8.59,8.39,7.2,7.28,7.24,7.44,7.69,8.03,8,8.97,7,7.29,16.13,15.52,14.89,13.39,13.48,17.27,17.45,17.32,16.9,15.65
LBR,Liberia,MtCO2e,14.24,14.27,14.26,14.26,14.27,14.18,14.22,14.3,14.21,14.26,14.25,14.25,14.4,14.43,14.5,14.78,14.59,14.58,15.57,14.85,15.05,15.13,15.12,15.85,16.7,15.73,15.62,15.46,15.84,15.62
EST,Estonia,MtCO2e,36.56,27.39,22.35,22.29,20.09,21,21.36,20.08,19.49,19.05,19.38,18.98,20.88,21.09,21.09,20.41,24.18,21.92,18.43,23.03,18.16,16.7,18.58,17.33,14.12,23.59,24.49,23.45,17.8,14.83
GHA,Ghana,MtCO2e,21.61,22.02,22.17,22.45,22.82,23.73,24.96,28.58,27.25,27.57,62.01,63.27,63.77,62.62,64.91,66.13,66.38,66.15,67.31,68.97,54.5,56.32,58.4,57.94,59.65,5.82,7.58,9.22,11.22,14.41
SUR,Suriname,MtCO2e,6.26,6.36,6.38,6.42,6.51,6.62,6.6,6.66,6.69,6,6.4,5.84,6.06,6.39,6.61,6.54,6.45,6.63,6.75,7.1,11.64,12.11,11.97,12.37,12.46,13.86,13.35,13,13.58,13.54
GNQ,Equatorial Guinea,MtCO2e,4.16,5.91,6.09,6.26,6.45,6.8,8.38,9.63,11.27,10.54,12.8,12.08,13.21,17.03,17.49,17.37,18.04,17.16,16.52,16.67,16.04,15.71,15.57,17.59,16.5,16.19,15.17,14.74,14.13,13.38
MDA,Moldova,MtCO2e,31.87,26.89,23.46,20.37,18.33,16.54,14.87,13.4,12.04,11.19,10.72,10.86,11.46,11.44,11.75,11.41,11.63,11.5,10.82,11.73,12.44,12.19,11.32,11.96,12.18,12.94,12.93,13.48,13.64,13.17
MRT,Mauritania,MtCO2e,7.19,7.04,7.23,7.14,7.21,7.75,8.05,8.34,8.92,9.35,9.46,9.54,9.72,9.74,9.89,10.27,10.53,9.93,10.72,11.3,11.4,11.81,11.75,12.34,13.02,11.17,12.14,12.51,12.91,12.97
KGZ,Kyrgyzstan,MtCO2e,29.11,21.52,16.73,11.58,8.89,9.79,9.67,9.9,8.52,8.44,8.87,9.84,10.47,10.62,10.31,10.43,11.64,12.73,12.38,12.09,12.79,15.41,14.9,15.53,15.87,12.9,12.72,14.85,13.67,12.83
BGR,Bulgaria,MtCO2e,59.48,53.66,52.22,48.27,49.49,50.06,46.98,43.39,36.58,36.03,36.6,33.91,38.78,37.53,37.52,37.47,41.66,39.26,31.77,33.42,50.75,45,39.85,42.44,45.13,20.58,22.72,19.49,17.65,12.61
BRN,Brunei,MtCO2e,6.3,6.6,7.04,7.33,7.73,7.85,8.46,11.81,7.52,7.94,7.89,7.88,9.05,8.49,8.35,11.06,10.55,11.4,11.2,10.5,9.82,9.78,9.56,9.53,8.76,9.41,9.8,10.1,9.65,12.23
SLV,El Salvador,MtCO2e,8.73,9.11,9.58,10.2,10.46,10.41,11.27,11.39,11.6,11.2,11.85,12.08,12.65,13.01,13.4,13.88,14.45,13.89,13.52,13.27,13.18,13.34,12.59,12.86,13.33,13.25,12.39,12.73,13.59,12.15
LVA,Latvia,MtCO2e,13.36,10.6,7.43,4.46,2.89,2.89,2.34,1.95,1.41,0.88,0.2,0.25,0.55,0.58,0.78,1.35,1.81,1.52,0.75,1.94,12.46,12.28,12.2,12.1,12.15,11.85,11.78,12.33,12.17,11.53
HTI,Haiti,MtCO2e,5.61,6.02,5.65,5.14,5.92,6.22,6.62,6.77,6.91,7.39,7.57,7.87,7.91,7.79,7.89,7.95,8.37,8.4,8.45,9.01,9.91,9.67,9.96,10.38,10.74,10.97,10.95,10.83,10.96,10.9
ARM,Armenia,MtCO2e,25.12,14.81,8.65,6.13,6.7,5.61,6.31,6.27,5.74,6.12,6.23,5.9,6.32,6.72,7.44,7.84,8.49,9.01,7.87,7.69,8.13,9.12,9.06,9.05,9.08,9.45,9.29,9.48,9.91,10.46
MKD,Macedonia,MtCO2e,13.23,12.44,12.45,11.99,11.6,13.17,12.01,12.76,11.83,11.5,11.51,10.91,11.68,11.48,11.77,11.77,12.27,12.06,11.37,11.25,12.14,11.71,10.79,10.42,10.15,10.03,10.53,10.01,10.9,9.77
SLE,Sierra Leone,MtCO2e,6.51,6.51,6.6,6.58,6.36,6.13,6.08,6.18,5.9,5.96,6.15,6.5,7.06,7.41,7.52,8.52,7.83,7.57,7.89,7.9,8.42,9.21,9.3,9.73,9.76,9.79,9.71,10.18,9.24,9.31
TGO,Togo,MtCO2e,6.09,5.78,5.66,5.93,5.89,6.49,6.25,7.21,7.62,7.12,5.08,5.52,6.13,5.86,6.76,6.18,5.86,6.19,7.68,7.51,7.99,7.54,7.43,7.17,7.92,8.19,8.03,8.39,8.77,9.24
LUX,Luxembourg,MtCO2e,12.05,11.74,11.95,11.1,8.96,9.04,8.54,7.87,8.26,8.89,9.49,10.28,10.7,12.15,12.39,12.18,11.6,11.52,10.93,11.52,11.66,11.43,10.92,10.4,9.89,9.56,9.74,10.04,10.22,8.54
ALB,Albania,MtCO2e,9.01,6.97,6.94,7.75,7.59,7.32,6.59,6.82,8.03,8.42,7,7.64,8.05,8.12,7.89,7.8,7.87,7.61,7.68,8.12,8.77,8.22,8.45,8.89,8.56,8.95,9.68,9.43,8.95,8.06
CYP,Cyprus,MtCO2e,5.9,6.32,6.6,6.85,6.74,7.13,7.21,7.54,7.82,8.09,7.81,8.04,8.71,8.65,8.76,8.9,9.23,9.45,9.27,8.95,8.64,8.13,7.42,7.82,7.9,8.35,8.49,8.31,8.29,7.86
RWA,Rwanda,MtCO2e,5.2,5.13,5.05,4.88,5.07,5.27,5.64,5.64,5.86,5.7,5.63,5.86,5.95,6.06,6.12,6.4,6.54,6.75,6.88,7.16,6.15,6.31,6.5,6.49,7.17,6.99,7.18,7.37,7.6,7.59
JAM,Jamaica,MtCO2e,9.34,10.15,10.35,10.39,10.73,11.07,11.22,11.77,12.09,12.2,9.34,9.52,9.94,9.85,9.81,11.02,10.95,8.54,6.8,6.4,9.14,8.62,9.08,8.89,8.78,9.22,8.93,10.33,10.15,7.58
BDI,Burundi,MtCO2e,6.56,6.55,6.53,6.43,6.59,6.63,6.7,6.74,6.84,6.88,4.77,4.76,4.74,4.79,4.85,5.01,5.08,5.21,5.36,5.7,0.97,1.04,1.43,1.42,1.43,6.77,7.38,7.6,7.25,7.14
CRI,Costa Rica,MtCO2e,11.22,12.36,12.44,12.86,12.45,12.42,12.47,13.19,12.99,12.84,10.24,10.25,10.62,10.63,11.16,11.49,12.9,13.04,12.61,12.74,6.61,6.6,7.11,7.11,7.03,7.83,8.12,8.43,8.4,7.08
BLZ,Belize,MtCO2e,13.33,13.41,13.54,13.66,12.56,11.41,10.41,9.42,8.28,7.3,4.03,4.12,4.41,3.96,4.12,4.13,4.34,4.28,4.42,4.49,7.15,6.62,6.83,6.7,6.94,6.68,6.74,6.65,6.9,6.96
ERI,Eritrea,MtCO2e,4.13,4.84,4.41,4.6,4.72,5.28,5.77,5.72,5.9,6.01,5.73,5.68,5.82,5.86,5.85,5.65,5.95,5.89,5.94,5.87,6.1,6.17,6.19,6.23,6.25,6.38,6.44,6.58,6.63,6.69
MUS,Mauritius,MtCO2e,2.38,2.47,2.63,2.7,2.76,2.93,3.04,3.32,3.84,4.29,4.5,4.52,4.71,4.74,4.92,5.35,5.49,5.6,5.6,5.87,5.84,6,6.13,6.33,6.38,6.5,6.7,6.72,6.82,6.41
TLS,Timor-Leste,MtCO2e,0.99,0.99,1.02,1.1,1.12,1.14,1.15,1.16,1.05,1.12,2.18,3.25,4.09,4.87,5.84,6.21,6.5,6.88,7.2,7.5,7.39,7.38,7.26,7.24,7.18,7,6.83,6.56,6.55,6.01
GNB,Guinea-Bissau,MtCO2e,3.25,3.28,3.32,3.34,3.37,2.97,3.01,3.23,3.58,3.28,3.49,3.66,3.76,3.8,3.74,4.07,4.06,3.78,3.84,3.99,3.88,4.37,4.08,4.2,4.47,4.15,4.08,4.18,4.22,4.26
LSO,Lesotho,MtCO2e,3.04,3.25,3.26,3.26,3.22,3.21,3.34,3.23,3.71,3.64,3.64,3.49,3.57,3.54,3.73,3.7,3.79,3.76,3.88,3.92,4.69,4.73,3.92,4.05,3.84,3.79,4.23,3.95,3.85,4.01
MNE,Montenegro,MtCO2e,3.57,3.58,3.41,3.37,3.51,3.76,3.91,4,3.43,3.68,0.05,0.15,0.28,0.29,0.09,0.14,-0.07,0.37,-0.71,0.01,4.03,3.79,3.65,3.55,3.66,3.44,3.58,3.78,3.85,3.79
BRB,Barbados,MtCO2e,3.16,3.13,3.11,3.2,3.24,3.28,3.38,3.46,3.54,3.53,3.56,3.54,3.58,3.63,3.66,3.69,3.72,3.99,3.98,3.87,3.93,3.9,3.88,3.74,3.74,3.78,3.69,3.79,3.71,3.65
ISL,Iceland,MtCO2e,3.94,3.74,3.7,3.78,3.71,3.97,3.94,4.08,4.05,4.09,3.93,3.99,3.96,4.02,3.96,4.44,4.46,4.36,4.03,3.9,3.66,3.65,3.81,3.87,3.92,3.46,3.51,3.53,3.46,3.27
GMB,Gambia,MtCO2e,5.18,5.29,5.41,4.94,4.47,4.15,3.83,3.56,3.49,3.13,2.6,2.37,2.28,2.19,2.05,2.14,2.19,2.33,2.69,2.74,2.42,2.5,2.57,2.71,2.93,2.82,2.87,2.74,2.92,2.98
SWZ,Eswatini,MtCO2e,2.76,2.62,2.34,3.02,3.01,2.8,2.78,2.86,2.87,2.66,2.53,2.54,2.55,2.54,2.56,2.48,2.73,2.65,2.6,2.49,2.46,2.46,2.64,2.67,2.68,2.78,2.78,2.8,2.96,2.88
BHS,Bahamas,MtCO2e,2.3,2.17,2.05,2.07,2.15,2.18,1.98,2.39,2.44,2.45,2.26,2.3,2.34,2.39,2.24,2.18,2.19,2.31,2.32,2.27,2.54,2.69,3.18,2.83,2.53,2.4,2.59,3.13,2.97,2.83
GRD,Grenada,MtCO2e,1.86,1.88,1.89,1.92,1.94,1.98,2,2.03,2.05,2.06,2.08,2.09,2.12,2.12,2.14,2.16,2.19,2.21,2.22,2.24,2.24,2.27,2.32,2.26,2.29,2.31,2.33,2.37,2.41,2.4
MLT,Malta,MtCO2e,2.43,2.41,3.05,2.76,2.63,2.57,2.73,2.64,2.68,2.41,2.79,2.62,2.92,2.93,2.98,3.06,3.15,3.09,2.9,3.01,2.99,3.16,2.83,2.84,2.16,1.87,2.02,2.04,2.14,2.08
MDV,Maldives,MtCO2e,0.21,0.28,0.26,0.26,0.32,0.35,0.41,0.39,0.51,0.55,0.58,0.71,0.63,0.8,0.74,0.91,0.94,1.01,1.07,1.13,1.2,1.36,1.37,1.62,1.63,1.81,1.94,2.22,2.49,1.99
DJI,Djibouti,MtCO2e,0.93,0.96,0.97,0.99,1.05,1.07,1.12,1.2,1.23,1.22,1.23,1.26,1.28,1.27,1.31,1.31,1.35,1.36,1.36,1.42,1.38,1.41,1.48,1.33,1.38,1.34,1.35,1.37,1.39,1.39
ATG,Antigua and Barbuda,MtCO2e,0.37,0.38,0.39,0.4,0.42,0.45,0.49,0.52,0.55,0.58,0.61,0.65,0.69,0.72,0.75,0.81,0.87,0.91,0.98,1,1.01,1.03,1.05,1.06,1.09,1.12,1.15,1.19,1.21,1.2
SYC,Seychelles,MtCO2e,0.24,0.24,0.26,0.28,0.28,0.31,0.36,0.38,0.4,0.38,0.41,0.44,0.44,0.48,0.48,0.49,0.51,0.52,0.56,0.56,0.53,0.55,0.54,0.59,0.64,0.71,0.72,0.76,0.76,0.77
CPV,Cape Verde,MtCO2e,-0.2,-0.16,-0.17,-0.19,-0.14,-0.15,-0.13,-0.1,-0.05,-0.05,0.44,0.48,0.5,0.51,0.54,0.6,0.54,0.56,0.6,0.64,0.66,0.63,0.61,0.6,0.61,0.66,0.68,0.69,0.72,0.73
LCA,Saint Lucia,MtCO2e,0.79,0.83,0.86,0.9,0.83,0.76,0.68,0.63,0.56,0.48,0.52,0.51,0.54,0.56,0.56,0.58,0.6,0.6,0.61,0.68,0.65,0.67,0.67,0.68,0.68,0.69,0.72,0.72,0.73,0.7
COM,Comoros,MtCO2e,0.32,0.33,0.34,0.34,0.35,0.35,0.36,0.37,0.38,0.36,0.38,0.39,0.41,0.42,0.46,0.46,0.38,0.41,0.44,0.48,0.48,0.49,0.53,0.52,0.54,0.56,0.63,0.65,0.68,0.68
WSM,Samoa,MtCO2e,0.45,0.45,0.47,0.49,0.5,0.52,0.52,0.54,0.54,0.54,0.57,0.58,0.58,0.59,0.59,0.59,0.6,0.58,0.59,0.63,0.65,0.65,0.65,0.67,0.71,0.7,0.7,0.71,0.69,0.65
VUT,Vanuatu,MtCO2e,0.5,0.52,0.54,0.55,0.56,0.58,0.58,0.58,0.59,0.57,0.55,0.55,0.57,0.55,0.57,0.57,0.69,0.7,0.69,0.71,0.73,0.73,0.72,0.78,0.71,0.64,0.65,0.68,0.64,0.59
AND,Andorra,MtCO2e,0.43,0.43,0.44,0.44,0.46,0.49,0.51,0.54,0.57,0.59,0.59,0.6,0.61,0.64,0.66,0.64,0.64,0.64,0.62,0.63,0.6,0.6,0.59,0.57,0.58,0.59,0.59,0.62,0.61,0.58
STP,Sao Tome and Principe,MtCO2e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.11,0.11,0.12,0.13,0.14,0.34,0.36,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.4
KNA,Saint Kitts and Nevis,MtCO2e,0.19,0.19,0.2,0.21,0.21,0.22,0.23,0.24,0.25,0.27,0.28,0.29,0.29,0.31,0.29,0.3,0.32,0.32,0.33,0.33,0.34,0.32,0.32,0.32,0.33,0.34,0.34,0.35,0.35,0.33
BTN,Bhutan,MtCO2e,-5.72,-5.74,-5.76,-5.73,-5.64,-5.61,-5.53,-5.52,-5.47,-5.53,-5.6,-5.57,-5.61,-5.66,-5.49,-5.51,-5.43,-5.55,-5.53,-5.4,0.12,0.26,0.27,0.37,0.39,0.56,0.64,0.76,0.74,0.32
VCT,Saint Vincent and the Grenadines,MtCO2e,0.12,0.12,0.14,0.15,0.16,0.17,0.17,0.2,0.21,0.19,0.27,0.28,0.29,0.31,0.31,0.31,0.33,0.31,0.37,0.32,0.31,0.32,0.31,0.35,0.33,0.34,0.31,0.33,0.32,0.3
TON,Tonga,MtCO2e,0.26,0.25,0.26,0.26,0.26,0.24,0.24,0.24,0.25,0.23,0.23,0.23,0.26,0.25,0.25,0.27,0.26,0.26,0.28,0.26,0.25,0.25,0.26,0.26,0.25,0.27,0.28,0.28,0.31,0.27
DMA,Dominica,MtCO2e,0.25,0.24,0.25,0.25,0.25,0.23,0.24,0.23,0.23,0.25,0.2,0.16,0.17,0.19,0.2,0.21,0.22,0.22,0.22,0.23,0.21,0.23,0.23,0.24,0.24,0.23,0.22,0.22,0.23,0.22
PLW,Palau,MtCO2e,0.01,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.23,0.25,0.25,0.24,0.23,0.24,0.24,0.24,0.25,0.2
MHL,Marshall Islands,MtCO2e,0.03,0.11,0.11,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.15,0.15,0.15,0.15,0.16,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.2,0.2,0.2,0.16
FSM,Micronesia,MtCO2e,-0.02,0.12,0.13,0.14,0.22,0.23,0.24,0.25,0.23,0.22,0.21,0.19,0.2,0.19,0.16,0.16,0.17,0.15,0.19,0.14,0.16,0.18,0.18,0.19,0.19,0.19,0.19,0.2,0.2,0.16
LIE,Liechtenstein,MtCO2e,0.23,0.23,0.24,0.23,0.23,0.23,0.25,0.26,0.26,0.25,0.25,0.26,0.27,0.27,0.27,0.27,0.24,0.26,0.25,0.23,0.19,0.2,0.21,0.18,0.17,0.16,0.17,0.16,0.16,0.16
KIR,Kiribati,MtCO2e,0.04,0.04,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.08,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.1,0.1,0.1,0.09
COK,Cook Islands,MtCO2e,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.07,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.1,0.09,0.09,0.09,0.09,0.09,0.07
NRU,Nauru,MtCO2e,0.13,0.12,0.12,0.12,0.11,0.11,0.11,0.1,0.1,0.09,0.09,0.08,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.05
TUV,Tuvalu,MtCO2e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
NIU,Niue,MtCO2e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0
FJI,Fiji,MtCO2e,-0.81,-0.77,-0.71,-0.66,-0.6,-0.55,-0.56,-0.6,-0.63,-0.6,-0.37,-0.55,-0.42,-0.11,-0.36,-0.25,-0.31,-0.54,-0.64,-0.31,-0.38,-0.44,-0.36,-0.77,-0.69,-0.77,-0.58,-0.49,-0.38,-0.81
Data source,Climate Watch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data for,Location: World. Sectors/Subsectors: Total including LUCF. Gases: All GHG. Calculation: Total. Show data by Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
